Age,Port return,Port vol
20,5.44%,9.40%
21,5.44%,9.40%
22,5.44%,9.40%
23,5.44%,9.40%
24,5.44%,9.40%
25,5.44%,9.40%
26,5.44%,9.40%
27,5.44%,9.40%
28,5.44%,9.40%
29,5.44%,9.40%
30,5.44%,9.40%
31,5.44%,9.40%
32,5.44%,9.40%
33,5.44%,9.40%
34,5.44%,9.40%
35,5.44%,9.40%
36,5.44%,9.40%
37,5.44%,9.40%
38,5.44%,9.40%
39,5.44%,9.40%
40,5.44%,9.40%
41,5.44%,9.40%
42,5.44%,9.40%
43,5.44%,9.40%
44,5.44%,9.40%
45,5.43%,9.40%
46,5.39%,9.40%
47,5.34%,9.40%
48,5.27%,9.40%
49,5.18%,9.40%
50,5.09%,9.40%
51,4.99%,9.40%
52,4.89%,9.40%
53,4.78%,9.40%
54,4.68%,9.40%
55,4.57%,9.40%
56,4.47%,9.40%
57,4.37%,9.40%
58,4.28%,9.40%
59,4.19%,9.40%
,0.041072749,
,0.040278736,
,0.039533369,
,0.038835454,
